item,itemLabel,elev
http://www.wikidata.org/entity/Q39070607,Fortress Mountain,8671.0
http://www.wikidata.org/entity/Q48773762,Mica Mountain,8668.0
http://www.wikidata.org/entity/Q5284003,Divide Mountain,8665.0
http://www.wikidata.org/entity/Q28604355,Loomis Peak,8658.0
http://www.wikidata.org/entity/Q4807833,Aspen Mountain,8657.0
http://www.wikidata.org/entity/Q7168497,Peril Peak,8651.0
http://www.wikidata.org/entity/Q5575277,Goat Haunt Mountain,8641.0
http://www.wikidata.org/entity/Q6920468,Mount Doody,8640.0
http://www.wikidata.org/entity/Q7258454,Pueblo Mountain,8639.0
http://www.wikidata.org/entity/Q16849682,Bush Mountain,8631.0
http://www.wikidata.org/entity/Q6923001,"Mount Pluto, California",8617.0
http://www.wikidata.org/entity/Q49039760,Jessen Butte,8613.0
http://www.wikidata.org/entity/Q43512,K2,8611.0
http://www.wikidata.org/entity/Q6806698,Medicine Butte,8610.0
http://www.wikidata.org/entity/Q6649806,Little Dog Mountain,8610.0
http://www.wikidata.org/entity/Q14713610,Clark Mountain,8602.0
http://www.wikidata.org/entity/Q21839568,Mongibello Mons,8600.0
http://www.wikidata.org/entity/Q4763852,Angora Peak,8588.0
http://www.wikidata.org/entity/Q82019,カンチェンジュンガ,8586.0
http://www.wikidata.org/entity/Q5611337,Grouse Mountain,8586.0
http://www.wikidata.org/entity/Q5267436,Devils Paw,8584.0
http://www.wikidata.org/entity/Q8533591,Mount Despair (Montana),8582.0
http://www.wikidata.org/entity/Q7494776,Sherburne Peak,8578.0
http://www.wikidata.org/entity/Q8530490,Trischman Knob,8573.0
http://www.wikidata.org/entity/Q38251289,Dusty Star Mountain,8573.0
http://www.wikidata.org/entity/Q49049173,Mellor Mountain,8570.0
http://www.wikidata.org/entity/Q7299652,Razoredge Mountain,8569.0
http://www.wikidata.org/entity/Q6667382,Logging Mountain,8566.0
http://www.wikidata.org/entity/Q4997905,Bunsen Peak,8564.0
http://www.wikidata.org/entity/Q48773879,Jabal 'Okran,8558.0
