item,itemLabel,elev
http://www.wikidata.org/entity/Q159762,マウナ・ロア山,13679.0
http://www.wikidata.org/entity/Q6921471,Mount Jackson,13676.0
http://www.wikidata.org/entity/Q6924144,Mount Tom,13658.0
http://www.wikidata.org/entity/Q4860046,Bard Peak,13647.0
http://www.wikidata.org/entity/Q6851612,Milestone Mountain,13644.0
http://www.wikidata.org/entity/Q7986563,West Spanish Peak,13631.0
http://www.wikidata.org/entity/Q7548671,Snowmass Peak,13627.0
http://www.wikidata.org/entity/Q7673143,Table Mountain,13627.0
http://www.wikidata.org/entity/Q8537012,Mount Blaurock,13623.0
http://www.wikidata.org/entity/Q6921137,Mount Helen,13620.0
http://www.wikidata.org/entity/Q4915679,Birch Mountain,13608.0
http://www.wikidata.org/entity/Q5300155,Doublet Peak,13600.0
http://www.wikidata.org/entity/Q8525757,Turret Peak (Wyoming),13600.0
http://www.wikidata.org/entity/Q7894874,University Peak,13595.0
http://www.wikidata.org/entity/Q23950180,Mount Ericsson,13589.0
http://www.wikidata.org/entity/Q14685009,Mount Powell,13586.0
http://www.wikidata.org/entity/Q7573265,スパニッシュ・ピークス,13580.0
http://www.wikidata.org/entity/Q6919846,Mount Brewer,13576.0
http://www.wikidata.org/entity/Q8525765,Mount Sacagawea,13569.0
http://www.wikidata.org/entity/Q23950192,Mount Dubois,13565.0
http://www.wikidata.org/entity/Q6920932,Mount Goddard,13564.0
http://www.wikidata.org/entity/Q7127578,Palisade Crest,13559.0
http://www.wikidata.org/entity/Q14685127,Tower Mountain,13558.0
http://www.wikidata.org/entity/Q49087703,Wasatch Mountain,13546.0
http://www.wikidata.org/entity/Q7836717,Treasure Mountain,13535.0
http://www.wikidata.org/entity/Q14711877,South Kings Peak,13518.0
http://www.wikidata.org/entity/Q6117316,Jackson Peak,13517.0
http://www.wikidata.org/entity/Q7053957,North Arapaho Peak,13508.0
http://www.wikidata.org/entity/Q5430083,Fairchild Mountain,13504.0
http://www.wikidata.org/entity/Q6924658,Mount Woodrow Wilson,13502.0
http://www.wikidata.org/entity/Q4868351,Bastion Peak,13500.0
http://www.wikidata.org/entity/Q16838488,Bastion Peak-Northeast Peak,13476.0
http://www.wikidata.org/entity/Q6920739,Mount Febbas,13468.0
http://www.wikidata.org/entity/Q6922195,Mount Mills,13457.0
http://www.wikidata.org/entity/Q13391553,Flagstone Peak,13450.0
http://www.wikidata.org/entity/Q6905765,Montgomery Peak,13447.0
http://www.wikidata.org/entity/Q15271666,Rampart Peak,13441.0
http://www.wikidata.org/entity/Q14680090,Kahiltna Peaks,13440.0
http://www.wikidata.org/entity/Q14714846,Sunbeam Peak,13440.0
http://www.wikidata.org/entity/Q5609811,Grizzly Peak,13433.0
http://www.wikidata.org/entity/Q6379954,Kaweah Queen,13388.0
http://www.wikidata.org/entity/Q18153516,Italian Mountain,13385.0
http://www.wikidata.org/entity/Q16911141,Mount Guyot (Colorado),13376.0
http://www.wikidata.org/entity/Q14685115,Sultan Mountain,13373.0
http://www.wikidata.org/entity/Q16891073,Engelmann Peak,13368.0
