dataset_slug,dataset_name,metric_key,metric_name,unit,item_key,item_name,value
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6922258,モーガン山,8781
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7582038,Square Peak,8777
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q4929491,ブルーマウンテン (カリフォルニア州の山),8772
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6921154,Mount Henkel,8770
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7637843,Summit Mountain,8770
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5131516,Clements Mountain,8760
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q4997321,Bumpass Mountain,8757
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5510054,Fusillade Mountain,8750
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7317627,Reuter Peak,8750
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q4695077,Ahern Peak,8749
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q3026098,Diamond Peak,8748
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q3140792,Horse Ranch Mountain,8743
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5680804,Hat Mountain,8741
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q8529328,Snowshoe Peak,8738
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q16895181,Miller Mountain,8736
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q28056287,Elk Mountain,8727
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q14685116,Tanks Peak,8726
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5325196,Eagle Plume Mountain,8724
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7511378,Sierra Grande,8723
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7826170,トロ山,8717
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q54874300,B-7 Pillar,8716
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5135736,Cloudcroft Peaks,8710
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6730348,Maggies Peak,8703
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q8526207,Mount Michelson (Chugach Mountains),8701
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7094870,Ontario Peak,8696
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q22556335,Mount Turner,8694
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q4748391,Amphitheater Mountain,8690
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q56278756,Mount Ruth,8690
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q49089621,Whiterocks,8685
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q4876729,Bearhat Mountain,8684
