dataset_slug,dataset_name,metric_key,metric_name,unit,item_key,item_name,value
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7856231,Turret Peak,13841
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q2963260,Mount Darwin,13837
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684675,Jupiter Mountain,13836
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8526460,Mount Silverheels,13829
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7335223,Rio Grande Pyramid,13827
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685119,Teakettle Mountain,13825
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684432,Dallas Peak,13815
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685022,Niagara Peak,13812
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684297,Arrow Peak,13809
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6921611,Mount Kaweah,13807
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6922077,Mount McAdie,13805
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685082,Rito Alto Peak,13803
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16887326,Garfield Peak (Colorado),13787
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7762365,The Sawtooth,13786
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16892722,Mount Irvine,13786
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6924629,Mount Winchell,13781
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7157803,"Peak 13,762",13769
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6922255,Mount Morgan,13754
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q23950187,Mount Gabb,13747
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q3382302,Fremont Peak,13745
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4789422,Argentine Peak,13743
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q18357144,Bear Creek Spire,13726
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6924488,Mount Warren,13722
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6922150,Mount Mendel,13716
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q159762,マウナ・ロア山,13679
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6921471,Mount Jackson,13676
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6924144,Mount Tom,13658
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4860046,Bard Peak,13647
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6851612,Milestone Mountain,13644
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7986563,West Spanish Peak,13631
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7548671,Snowmass Peak,13627
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7673143,Table Mountain,13627
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8537012,Mount Blaurock,13623
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6921137,Mount Helen,13620
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4915679,Birch Mountain,13608
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5300155,Doublet Peak,13600
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8525757,Turret Peak (Wyoming),13600
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7894874,University Peak,13595
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q23950180,Mount Ericsson,13589
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685009,Mount Powell,13586
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7573265,スパニッシュ・ピークス,13580
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6919846,Mount Brewer,13576
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8525765,Mount Sacagawea,13569
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q23950192,Mount Dubois,13565
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6920932,Mount Goddard,13564
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7127578,Palisade Crest,13559
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685127,Tower Mountain,13558
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q49087703,Wasatch Mountain,13546
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7836717,Treasure Mountain,13535
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14711877,South Kings Peak,13518
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6117316,Jackson Peak,13517
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7053957,North Arapaho Peak,13508
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5430083,Fairchild Mountain,13504
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6924658,Mount Woodrow Wilson,13502
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4868351,Bastion Peak,13500
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16838488,Bastion Peak-Northeast Peak,13476
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6920739,Mount Febbas,13468
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6922195,Mount Mills,13457
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q13391553,Flagstone Peak,13450
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6905765,Montgomery Peak,13447
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q15271666,Rampart Peak,13441
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14680090,Kahiltna Peaks,13440
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14714846,Sunbeam Peak,13440
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5609811,Grizzly Peak,13433
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6379954,Kaweah Queen,13388
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q18153516,Italian Mountain,13385
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16911141,Mount Guyot (Colorado),13376
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685115,Sultan Mountain,13373
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16891073,Engelmann Peak,13368
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q49054192,Mount Powell,13364
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14714702,Downs Mountain,13349
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684986,Mount Herard,13345
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685162,West Buffalo Peak,13332
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6919356,Mount Alice,13315
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8527843,James Peak,13314
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q49026851,East Buffalo Peak,13310
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7637850,Summit Peak,13307
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684958,Middle Peak,13306
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684448,Dolores Peak,13296
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684295,Antora Peak,13275
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16893648,Mount Koven (Wyoming),13271
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16901550,The Sphinx,13264
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q39046162,Deerhorn Mountain,13264
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684563,Henry Mountain,13261
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q49075822,South Guard,13239
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5746077,Hesperus Mountain,13237
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8525646,Lavender Peak (Colorado),13233
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684973,Mount Audubon,13229
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684652,Jacque Peak,13211
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16827917,American Legion Peak,13211
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684306,Bennett Peak,13209
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16847533,Brown Cliffs North,13198
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8023948,Wind River Peak,13197
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7376366,Ruby Peak,13194
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16902190,Twin Peaks,13191
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q49043973,Lenawee Mountain,13186
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5159490,Conejos Peak,13179
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5135676,Cloud Peak,13167
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14711841,Mount Powell,13165
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7857997,Twilight Peak,13163
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16900403,Split Mountain,13161
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q15213747,Desolation Peak,13161
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q940908,Francs Peak,13158
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685104,South River Peak,13154
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6924474,Mount Walter,13141
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6919648,Mount Baxter,13141
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7690099,Taylor Peak,13136
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q39070604,Diamond Peak,13136
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16892238,Henderson Peak,13121
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q15238659,Klondike Peak,13120
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6660500,Lizard Head,13119
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7847152,Truchas Peak,13108
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q30144894,Charybdis,13102
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8025008,Winfield Peak,13084
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6920134,Mount Chiquita,13075
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16900358,South Downs Mountain,13068
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q1862168,Mount Dana,13061
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6922043,Mount Mary Austin,13057
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16892114,Harrower Peak,13057
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685165,West Elk Peak,13042
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16903242,Mount Whitecap,13025
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16845327,Bow Mountain,13025
